BTOT,yr,RELI,wkt,WT1,WT2,WT3,WT4,WT5,WT6
3,2014,68602481,POINT(8.577429 47.378122),0,0,1,0,0,0
111,2014,68062470,POINT(8.505734 47.368912),32,10,35,9,0,0
103,2014,68672445,POINT(8.586 47.345654),0,1,16,19,5,0
29,2014,68652457,POINT(8.583586 47.356472),0,2,0,2,3,6
183,2014,68152462,POINT(8.517503 47.361606),4,57,53,4,1,0
205,2014,68452454,POINT(8.55706 47.354034),14,47,35,21,7,2
39,2014,68332483,POINT(8.541718 47.380267),0,6,13,14,2,3
109,2014,68422507,POINT(8.554086 47.401737),0,21,45,16,0,0
52,2014,68192514,POINT(8.523749 47.408322),1,5,8,5,5,0
6,2014,68622451,POINT(8.5795 47.351116),0,0,0,0,0,2
114,2014,68362518,POINT(8.546345 47.411706),21,20,25,11,0,0
302,2014,68112474,POINT(8.512425 47.372448),2,38,99,24,0,0
43,2014,68082505,POINT(8.509014 47.400364),1,1,7,8,1,2
123,2014,68202491,POINT(8.524652 47.387625),0,55,27,2,0,0
104,2014,67942495,POINT(8.490292 47.391541),18,46,16,0,0,0
5,2014,68562462,POINT(8.57177 47.361087),0,0,0,1,0,2
248,2014,68222458,POINT(8.526694 47.357922),9,34,80,33,2,0
234,2014,68062480,POINT(8.505914 47.377905),3,41,49,22,12,0
3,2014,67972491,POINT(8.494194 47.387907),0,0,4,0,0,0
70,2014,68432478,POINT(8.554865 47.375644),3,7,6,8,6,2
158,2014,68602508,POINT(8.577948 47.402404),0,6,66,4,0,0
39,2014,67912471,POINT(8.485895 47.369993),0,0,3,4,6,2
176,2014,67992483,POINT(8.4967 47.380688),4,19,15,32,5,1
68,2014,68682458,POINT(8.587575 47.357332),4,7,25,4,4,2
104,2014,68472519,POINT(8.560937 47.412465),0,9,20,13,0,0
3,2014,68772459,POINT(8.599506 47.358112),3,2,0,4,2,0
17,2014,68782482,POINT(8.601281 47.378784),0,0,0,0,1,5
185,2014,68082459,POINT(8.508183 47.358994),27,45,34,12,0,0
22,2014,68172433,POINT(8.519621 47.3355),1,0,13,0,0,0
225,2014,68112467,POINT(8.512299 47.366152),2,6,38,49,0,0
4,2014,68602518,POINT(8.578141 47.411397),0,0,1,1,0,0
74,2014,68312492,POINT(8.539237 47.388387),2,5,14,9,10,1
171,2014,68152434,POINT(8.516993 47.336425),0,17,10,19,14,0
177,2014,68342521,POINT(8.543751 47.414429),22,48,40,8,3,0
91,2014,68252466,POINT(8.530812 47.365079),9,3,3,12,6,2
232,2014,68132475,POINT(8.515091 47.373322),18,37,68,16,5,2
125,2014,68502514,POINT(8.564816 47.407929),3,29,32,11,0,0
205,2014,68172480,POINT(8.520478 47.37777),4,6,74,30,9,0
18,2014,68792483,POINT(8.602625 47.37967),0,0,3,3,4,2
291,2014,68662507,POINT(8.585877 47.401426),10,23,35,42,13,2
375,2014,68172468,POINT(8.520259 47.366978),49,70,75,37,1,3
140,2014,68352499,POINT(8.544665 47.394631),18,9,33,12,1,6
152,2014,68662504,POINT(8.585819 47.398728),0,0,0,28,7,3
73,2014,68352480,POINT(8.54431 47.377544),3,0,2,5,4,5
21,2014,68312525,POINT(8.53985 47.418064),0,0,2,5,1,0
119,2014,68432457,POINT(8.554469 47.356757),14,28,19,16,2,2
3,2014,68392476,POINT(8.549531 47.373896),0,0,0,1,0,0
3,2014,68312468,POINT(8.538792 47.366803),0,0,0,0,0,0
27,2014,68622441,POINT(8.579307 47.342122),0,1,2,0,1,11
120,2014,68342496,POINT(8.543285 47.391946),0,2,14,13,14,4
84,2014,68142458,POINT(8.516106 47.358021),4,0,5,7,15,3
101,2014,67902484,POINT(8.4848 47.381696),0,32,23,11,1,0
96,2014,68002506,POINT(8.498435 47.401361),1,9,21,13,5,1
4,2014,68322527,POINT(8.541213 47.419851),0,0,0,1,0,0
25,2014,68252468,POINT(8.530849 47.366878),3,1,2,2,4,3
3,2014,68712458,POINT(8.591546 47.357293),0,0,0,0,1,0
54,2014,67942501,POINT(8.490399 47.396937),0,0,28,0,0,0
109,2014,68262443,POINT(8.531712 47.344382),6,6,19,17,13,1
145,2014,68142494,POINT(8.516761 47.390398),37,30,15,14,6,0
3,2014,68302475,POINT(8.537598 47.373111),0,0,1,1,0,1
17,2014,68592507,POINT(8.576605 47.401517),0,0,0,0,6,0
39,2014,68472479,POINT(8.560179 47.376492),2,2,7,10,1,2
137,2014,68502460,POINT(8.56379 47.359366),21,27,26,21,0,0
64,2014,68392471,POINT(8.549438 47.369399),32,17,4,5,3,1
107,2014,68642514,POINT(8.583363 47.407747),0,8,36,0,0,0
84,2014,68192489,POINT(8.523291 47.385839),0,2,36,8,0,3
154,2014,67882485,POINT(8.48217 47.38262),3,13,46,14,10,0
90,2014,68212436,POINT(8.524968 47.338149),0,0,10,19,4,2
149,2014,68082458,POINT(8.508165 47.358095),9,31,38,11,0,0
67,2014,68572516,POINT(8.574128 47.409637),7,9,22,4,0,0
3,2014,68282470,POINT(8.534857 47.368639),0,1,1,3,0,0
18,2014,68402500,POINT(8.551306 47.395467),8,0,1,2,0,2
141,2014,68162464,POINT(8.518863 47.363393),0,33,30,10,0,0
20,2014,68012489,POINT(8.499455 47.38606),0,0,10,1,0,0
104,2014,68092467,POINT(8.509651 47.366177),15,26,15,15,3,0
